|Text|Sentiment|POLARITY|PREV_SENTIMENT|ERRO
0|there's mo|positive|0.17858796296296295|positive|CERTO
1|with story|positive|0.2299258109040718|positive|CERTO
2|the only t|negative|0.07656447124304266|negative|CERTO
3|" "" i've be"|positive|0.14520782889426964|positive|CERTO
4|every year|positive|0.27905776515151515|positive|CERTO
5|" "" party c"|negative|0.038848039215686275|negative|CERTO
6| * * * * *|positive|0.12152820270007769|positive|CERTO
7|this sunda|positive|0.2156098302446617|positive|CERTO
8|dora ( fer|positive|0.1415538847117794|positive|CERTO
9|synopsis :|positive|0.16069367140795712|positive|CERTO
10|mulholland|negative|0.10254920860389613|positive|ERRADO
11|this remak|positive|0.13275324675324676|positive|CERTO
12|another fo|negative|0.04950119325119325|negative|CERTO
13|capsule : |positive|0.1848684210526316|positive|CERTO
14|there exis|positive|0.14301146384479718|positive|CERTO
15|dreamworks|positive|0.14742739898989896|positive|CERTO
16|over 40 ye|negative|0.0707304372127381|negative|CERTO
17|the crypti|positive|0.14371657112728542|positive|CERTO
18|starring b|negative|0.011990740740740736|negative|CERTO
19|" "" crazy/b"|positive|0.043720580186097424|negative|ERRADO
20|note : som|positive|0.10798214396373909|positive|CERTO
21|in recent |positive|0.12583031722375987|positive|CERTO
22|capsule : |negative|-0.12659932659932666|negative|CERTO
23|based on t|negative|0.09122309494500505|positive|ERRADO
24|this chris|positive|0.22906039743389142|positive|CERTO
25|what do yo|positive|0.2773041474654378|positive|CERTO
26|are you ti|positive|0.1661312803358258|positive|CERTO
27|what a gre|positive|0.19006547619047623|positive|CERTO
28|while watc|positive|0.18802083333333336|positive|CERTO
29|reindeer g|negative|0.020219920029080355|negative|CERTO
30|good films|positive|0.2428809523809524|positive|CERTO
31|`we run ti|positive|0.10265420656986922|positive|CERTO
32|deuce biga|negative|0.1580548730548731|positive|ERRADO
33|mighty joe|negative|0.06442437770562771|negative|CERTO
34|" "" the ani"|negative|0.026792635658914734|negative|CERTO
35|" "" he's ba"|positive|0.09156443368307775|positive|CERTO
36|having not|positive|0.2113172134882661|positive|CERTO
37|just how i|positive|0.034317426759287235|negative|ERRADO
38|warning : |negative|0.0775559523809524|negative|CERTO
39|a standoff|positive|0.10119588744588744|positive|CERTO
40|come on ho|negative|0.09808634162447721|positive|ERRADO
41|it's a fac|positive|0.19366319444444438|positive|CERTO
42|roberto be|positive|0.15638016105758037|positive|CERTO
43|national l|positive|0.03181216931216932|negative|ERRADO
44|maybe this|negative|0.18600713012477718|positive|ERRADO
45|" "" goodbye"|negative|-0.03504870129870129|negative|CERTO
46|all throug|negative|0.01912393162393161|negative|CERTO
47|one of the|negative|0.06966676180961894|negative|CERTO
48|a remake o|negative|0.08945578231292514|positive|ERRADO
49|movie revi|negative|-0.005962192569335423|negative|CERTO
50|so what do|negative|0.06728843669250648|negative|CERTO
51|susan gran|negative|0.011468253968253978|negative|CERTO
52|if you're |negative|0.05723733938019652|negative|CERTO
53|" "" some ho"|negative|0.030834276834276822|negative|CERTO
54|there was |negative|0.05728838711793256|negative|CERTO
55|near the e|positive|0.22384237786023503|positive|CERTO
56|what would|negative|0.013733376233376221|negative|CERTO
57|plot : upo|negative|0.015202546296296297|negative|CERTO
58|five girls|negative|0.03477415054563492|negative|CERTO
59|plot : a b|positive|0.07667316503656708|negative|ERRADO
60|" "" despera"|negative|0.04067747179192963|negative|CERTO
61|i'm not qu|positive|0.10406678391053387|positive|CERTO
62|the first |negative|0.2523351648351648|positive|ERRADO
63|a slight r|negative|0.13872102842691075|positive|ERRADO
64|just look |positive|0.0982959595959596|positive|CERTO
65|that thing|positive|0.20483718230694034|positive|CERTO
66|some talen|negative|0.08315627472885537|positive|ERRADO
67|after watc|positive|0.04228752728752727|negative|ERRADO
68|james l . |positive|0.27517361111111105|positive|CERTO
69|that's exa|negative|-0.05457711442786068|negative|CERTO
70|the saint |positive|0.16010672198172196|positive|CERTO
71|andrew llo|positive|0.1562948162948163|positive|CERTO
72|earth is a|positive|0.02404493654493655|negative|ERRADO
73|it is movi|negative|0.057845433255269293|negative|CERTO
74|" "" there w"|negative|0.06906130268199234|negative|CERTO
75|up until a|positive|0.12485754985754986|positive|CERTO
76|as african|positive|0.22040740740740736|positive|CERTO
77|note to sc|negative|0.06864006864006866|negative|CERTO
78|" "" spawn """|negative|0.03234126984126982|negative|CERTO
79|forgive th|negative|0.05579029733959311|negative|CERTO
80|the ultima|positive|0.20394303902116404|positive|CERTO
81|a big surp|positive|0.1572344322344322|positive|CERTO
82|films adap|positive|0.02366334963737561|negative|ERRADO
83|supposedly|negative|0.07916666666666666|negative|CERTO
84|the long k|positive|0.10881307746979389|positive|CERTO
85|it is hard|positive|0.23540276390276388|positive|CERTO
86|plot : jet|positive|0.12277799581371007|positive|CERTO
87|susan gran|negative|-0.2886468855218855|negative|CERTO
88|jay and si|positive|0.13406282906282907|positive|CERTO
89|i'm curren|negative|0.15121957671957673|positive|ERRADO
90|no filmmak|positive|0.10932539682539681|positive|CERTO
91|synopsis :|positive|0.07155172413793104|negative|ERRADO
92|some movie|negative|0.08894209045724198|positive|ERRADO
93|" "" knock o"|negative|0.015782312925170086|negative|CERTO
94|plot : bas|negative|-0.05788961038961038|negative|CERTO
95|on june 30|positive|0.12210534686341136|positive|CERTO
96|as any soc|positive|0.11078180104495895|positive|CERTO
97|except for|negative|-0.0006756756756756747|negative|CERTO
98|plot : a y|negative|-0.04998649105032083|negative|CERTO
99|coinciding|negative|0.04247311827956989|negative|CERTO
100|i had been|positive|0.35165631469979297|positive|CERTO
101|sometimes |positive|-7.742934572202906e-05|negative|ERRADO
102|and now th|negative|-0.048656060606060605|negative|CERTO
103|you don't |negative|-0.06159160731741377|negative|CERTO
104|the americ|positive|0.11019480519480518|positive|CERTO
105|i don't ex|negative|0.0749492277270055|negative|CERTO
106|for better|negative|0.01947712418300654|negative|CERTO
107|i'm really|negative|-0.055856374807987684|negative|CERTO
108|capsule : |negative|0.04323376623376625|negative|CERTO
109|tectonic p|negative|0.05997198366149981|negative|CERTO
110|plot : a h|positive|0.08930529448621556|positive|CERTO
111|note : som|positive|0.21417611051369015|positive|CERTO
112|well , i k|positive|0.15387291280148424|positive|CERTO
